ID_PRODUCTO,ID,Nombre,Descripcion,Etiquetas,Precio,Cantidad,Cantidad,% Impuesto,Atributos,Sabor,URL FOTO,Foto 1,Foto 2,Foto 3
78,2,Papas Margarita Onduladas  ,Bolsa x 105 gr,Snacks,3400,1,,,Sabor,Mayonesa,https://metrocolombiafood.vteximg.com.br/arquivos/ids/259435-1000-1000/7702189053831.jpg?v=637175640793430000,,,
79,1,Papas Margarita Receta Clasica ,Bolsa x 120 gr,Snacks,3900,1,,,Sabor,Alitas BBQ,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3484397-1000-1000/7702189051455.jpg?v=637175561863830000,,,
79,2,Papas Margarita Receta Clasica ,Bolsa x 120 gr,Snacks,3900,1,,,Sabor,Sal,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3484396-1000-1000/7702189051431.jpg?v=637175561850070000,,,
80,1,Papas Margarita Fosforito,Bolsa x 182 gr,Snacks,4100,1,,,Sabor,Natural,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/190424-1000-1000/7702189033093.jpg?v=636162204226800000,,,
81,1,Choclitos Margarita ,Bolsa x 230 gr,Snacks,3700,1,,,Sabor,Limon,https://secureservercdn.net/50.62.88.95/vx2.bc3.myftpupload.com/wp-content/uploads/2019/05/7702189045799.jpg?time=1599745994,,,
82,1,Doritos Margarita ,Bolsa x 185 gr,Snacks,4300,1,,,Sabor,Mega Queso,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3484386-1000-1000/7702189045782.jpg?v=637175561819070000,,,
83,1,Cheetos Margarita Horneados,Bolsa x 160 gr,Snacks,3200,1,,,Sabor,Boliqueso,https://metrocolombiafood.vteximg.com.br/arquivos/ids/259395-1000-1000/7702189045577.jpg?v=637175640651200000,,,
84,1,Cheetos Margarita Horneados,Bolsa x 43 gr,Snacks,1000,1,,,Sabor,Trissitos ,https://metrocolombiafood.vteximg.com.br/arquivos/ids/259449-1000-1000/7702189054739.jpg?v=637175640838030000,,,
84,2,Cheetos Margarita Horneados,Bolsa x 43 gr,Snacks,1000,1,,,Sabor,Maxi,https://metrocolombiafood.vteximg.com.br/arquivos/ids/259445-1000-1000/7702189054708.jpg?v=637175640828530000,,,
85,1,Papas Yupi Golpe Con Todo,Bolsa x 250 gr,Snacks,5200,1,,,Sabor,Ranchero,https://cdn.totalcode.com/la14/product-zoom/es/golpe-con-todo-ranchero-250g-2.jpg,,,
