,% Impuesto,Atributos,Cantidad,Cantidad.1,Descripcion,Etiquetas,Foto 1,Foto 2,ID,ID_PRODUCTO,Nombre,Precio,Sabor,URL FOTO,Unnamed: 14
11,0.0,,1.0,,Bolsa x 1.100 ml,Leches ,No image,,1.0,12.0,Leche Colanta Deslactosada,3100.0,,,
12,0.0,,1.0,,Paca x 6 und,Leches ,No image,,1.0,13.0,Leche Colanta Entera,17800.0,,,
13,0.0,,1.0,,Paca x 6 und,Leches ,No image,,1.0,14.0,Leche Colanta Deslactosada,18800.0,,,
14,0.0,,1.0,,Bolsa x 1.100 ml,Leches ,No image,,1.0,15.0,Leche Alqueria Entera,3100.0,,,
15,0.0,,1.0,,Bolsa x 1.100 ml,Leches ,No image,,1.0,16.0,Leche Alqueria Deslactosada,3400.0,,,
16,0.0,,1.0,,Bolsa x 1.100 ml,Leches ,No image,,1.0,17.0,Leche Alqueria Descremada Deslactosada,3400.0,,,
17,0.0,,1.0,,Paca x 6 und,Leches ,No image,,1.0,18.0,Leche Alqueria Entera,18500.0,,,
18,0.0,,1.0,,Paca x 6 und,Leches ,No image,,1.0,19.0,Leche Alqueria Deslactosada,19900.0,,,
19,0.0,,1.0,,Paca x 6 und,Leches ,No image,,1.0,20.0,Leche Alqueria Descremada Deslactosada,0.0,,,
20,0.0,,1.0,,Bolsa x 1.100 ml,Leches ,No image,,1.0,21.0,Leche Algarra Entera,2600.0,,,
21,0.0,,1.0,,Bolsa x 1.100 ml,Leches ,No image,,1.0,22.0,Leche Algarra Deslactosada,2700.0,,,
22,0.0,,1.0,,Paca x 6 und,Leches ,No image,,1.0,23.0,Leche Algarra Entera,15500.0,,,
23,0.0,,1.0,,Paca x 6 und,Leches ,No image,,1.0,24.0,Leche Algarra Deslactosada,16500.0,,,
24,0.0,,1.0,,Paca x 6 und,Leches ,No image,,1.0,25.0,Leche Alpin Chocolate ,8900.0,,,
25,0.0,,1.0,,Paca x 6 und,Leches ,No image,,1.0,26.0,Leche Alpin Fresa,8900.0,,,
26,0.0,,1.0,,Bolsa x 800 ml,Leches ,No image,,1.0,27.0,Leche Alpin Chocolate ,5300.0,,,
27,0.0,,1.0,,Caja x 900 ml,Leches ,No image,,1.0,28.0,Bebida Jappi Almendra Natural ,9300.0,,,
28,0.0,,1.0,,Caja x 900 ml,Leches ,No image,,1.0,29.0,Bebida Jappi Almendra Vainilla ,9300.0,,,
29,0.0,,1.0,,Caja x 900 ml,Leches ,No image,,1.0,30.0,Bebida Jappi Coco Natural ,9300.0,,,
30,0.0,,1.0,,Bolsa x 200 gr,Leches en Polvo,No image,,1.0,31.0,Leche Proleche Entera,4900.0,,,
31,0.0,,1.0,,Bolsa x 380 gr,Leches en Polvo,No image,,1.0,32.0,Leche Proleche Entera,7800.0,,,
32,0.0,,1.0,,Bolsa x 900 gr,Leches en Polvo,No image,,1.0,33.0,Leche Proleche Entera,20300.0,,,
33,0.0,,1.0,,Bolsa x 380 gr,Leches en Polvo,No image,,1.0,34.0,Leche Proleche Deslactosada,9300.0,,,
34,0.0,,1.0,,Bolsa x 380 gr,Leches en Polvo,No image,,1.0,35.0,Leche Proleche Descremada,9400.0,,,
35,0.0,,1.0,,Bolsa x 400 gr,Leches en Polvo,No image,,1.0,36.0,Leche Colanta Entera,8100.0,,,
36,0.0,,1.0,,Bolsa x 1000 gr,Leches en Polvo,No image,,1.0,37.0,Leche Colanta Entera,18400.0,,,
37,0.0,,1.0,,Bolsa x 400 gr,Leches en Polvo,No image,,1.0,38.0,Leche Colanta Descremada,8400.0,,,
38,0.0,,1.0,,Bolsa x 400 gr,Leches en Polvo,No image,,1.0,39.0,Leche Colanta Deslactosada,0.0,,,
39,0.0,,1.0,,Bolsa x 900 gr,Leches en Polvo,No image,,1.0,40.0,Leche El Rodeo,20500.0,,,
40,0.0,,1.0,,Bolsa x 364 gr,Leches en Polvo,No image,,1.0,41.0,Leche El Rodeo Nutri Rinde ,8800.0,,,
41,0.0,,1.0,,Bolsa x 900 gr,Leches en Polvo,No image,,1.0,42.0,Leche El Rodeo Nutri Rinde ,19400.0,,,
42,0.0,,1.0,,Bolsa x 500 gr,Leches en Polvo,No image,,1.0,43.0,Leche Klim 1+ ,16800.0,,,
43,0.0,,1.0,,Bolsa x 1000 gr,Leches en Polvo,No image,,1.0,44.0,Leche Klim  1+,28900.0,,,
44,0.0,,1.0,,Bolsa x 360 gr,Leches en Polvo,No image,,1.0,45.0,Leche Klim Fortificada,11100.0,,,
45,0.0,,1.0,,Bolsa x 840 gr,Leches en Polvo,No image,,1.0,46.0,Leche Klim Fortificada,24800.0,,,
46,0.0,Sabor,1.0,,Vaso x 150 ml,Yogurt,No image,,1.0,47.0,Yogurt Alpina,1600.0,Fresa,,
47,0.0,Sabor,1.0,,Vaso x 150 ml,Yogurt,No image,,2.0,48.0,Yogurt Alpina,1600.0,Melocotón,https://cdn.shopify.com/s/files/1/0358/7787/9941/products/2006517_420x.jpg?v=1586655734,
48,0.0,Sabor,1.0,,Vaso x 150 ml,Yogurt,No image,,3.0,49.0,Yogurt Alpina,1600.0,Guanabana,https://i1.wp.com/mercaenlinea.nyc3.digitaloceanspaces.com/2019/05/alpina_yogurt_guanabana_200gr.jpg?fit=750%2C750&ssl=1,
49,0.0,Sabor,1.0,,Vaso x 150 ml,Yogurt,No image,,4.0,50.0,Yogurt Alpina,1600.0,Mora ,https://larecetta.com/pub/media/catalog/product/cache/c687aa7517cf01e65c009f6943c2b1e9/h/t/httpsstorage.googleapis.comlarecetta-ibis-images2000557.jpg,
50,0.0,Sabor,1.0,,Vaso x 150 ml,Yogurt,No image,,5.0,47.0,Yogurt Alpina Deslactosado,1600.0,Fresa,https://www.amercarya.com/wp-content/uploads/2020/08/Yogurt-ALPINA-deslactosado-fresa-150gr_9e3cde8e-60ed-4e9b-9159-6f095fd2ad22.jpg,
51,0.0,Sabor,1.0,,Vaso x 150 ml,Yogurt,No image,,6.0,47.0,Yogurt Alpina Deslactosado,1600.0,Melocotón,https://www.amercarya.com/wp-content/uploads/2020/08/Yogurt-ALPINA-deslactosado-melocoton-150gr_b7f6114d-59c2-41a6-9afe-f4f3e796a8a6.jpg,
52,0.0,Sabor,1.0,,Vaso x 200 ml,Yogurt,No image,,1.0,48.0,Yogurt Alpina,2300.0,Fresa,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3496832-750-750/7702001044115.jpg?v=637230819842930000,
53,0.0,Sabor,1.0,,Vaso x 200 ml,Yogurt,No image,,2.0,48.0,Yogurt Alpina,2300.0,Melocotón,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3496833-1000-1000/7702001044122.jpg?v=637230819843570000,
54,0.0,Sabor,1.0,,Vaso x 200 ml,Yogurt,No image,,3.0,48.0,Yogurt Alpina,2300.0,Guanabana,https://i1.wp.com/mercaenlinea.nyc3.digitaloceanspaces.com/2019/05/alpina_yogurt_guanabana_200gr.jpg?fit=750%2C750&ssl=1,
55,0.0,Sabor,1.0,,Vaso x 200 ml,Yogurt,No image,,4.0,48.0,Yogurt Alpina,2300.0,Mora ,,
56,0.0,Sabor,1.0,,Bolsa x 1000 ml,Yogurt,No image,,1.0,49.0,Yogo Yogo Litro,4300.0,Mora ,https://mercadoacasa.co/wp-content/uploads/2020/05/yogo-yogo-mora-1000.jpg,
57,0.0,Sabor,1.0,,Bolsa x 1000 ml,Yogurt,No image,,2.0,49.0,Yogo Yogo Litro,4300.0,Melocotón,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3496813-1000-1000/7702001046423.jpg?v=637230819766870000,
58,0.0,Sabor,1.0,,Bolsa x 1000 ml,Yogurt,No image,,3.0,49.0,Yogo Yogo Litro,4300.0,Fresa,,
59,0.0,Sabor,1.0,,Vaso x 150 ml,Yogurt,No image,,1.0,50.0,Yogo Yogo ,1000.0,Mora ,https://www.dumbomania.com/wp-content/uploads/2019/04/yogo-yogo-alpina-mora-vaso-.jpg,
60,0.0,Sabor,1.0,,Vaso x 150 ml,Yogurt,No image,,2.0,50.0,Yogo Yogo ,1000.0,Melocotón,,
61,0.0,Sabor,1.0,,Vaso x 150 ml,Yogurt,No image,,3.0,50.0,Yogo Yogo ,1000.0,Fresa,https://larecetta.com/pub/media/catalog/product/cache/c687aa7517cf01e65c009f6943c2b1e9/h/t/httpsstorage.googleapis.comlarecetta-ibis-images2000602.jpg,
62,0.0,Sabor,1.0,,Botella x 1000 ml,Yogurt,No image,,1.0,51.0,Yogurt Alpina,9500.0,Melocotón,,
63,0.0,Sabor,1.0,,Botella x 1000 ml,Yogurt,No image,,2.0,51.0,Yogurt Alpina,9500.0,Fresa,https://images.rappi.com/products/357793-1583765947543.jpg?d=500x500,
64,0.0,Sabor,1.0,,Botella x 1750 ml,Yogurt,52_1.png,,1.0,52.0,Yogurt Alpina,14700.0,Melocotón,https://merkandoya.com/imgproductos/41a931d0-8518-11ea-bbc2-e1ddb3edd09320200422230941.jpg,
65,0.0,Sabor,1.0,,Botella x 1750 ml,Yogurt,No image,,2.0,52.0,Yogurt Alpina,14700.0,Fresa,https://www.eurosupermercados.com/eurosupermercado2020//contenidos/images/ecommerce_productos/7702001046508.jpg,
66,0.0,Sabor,1.0,,Bolsa x 900 ml,Yogurt,No image,,1.0,53.0,Yogurt Alpina,6100.0,Melocotón,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3496808-750-750/7702001047406.jpg?v=637230819753400000,
67,0.0,Sabor,1.0,,Bolsa x 900 ml,Yogurt,No image,,2.0,53.0,Yogurt Alpina,6100.0,Fresa,,
68,0.0,Sabor ,1.0,,Vaso x 130 gr,Yogurt,No image,,1.0,54.0,Yogo Yogo Cereal ,1500.0,Fresa,https://larecetta.com/pub/media/catalog/product/cache/c687aa7517cf01e65c009f6943c2b1e9/h/t/httpsstorage.googleapis.comlarecetta-ibis-images2006084.jpg,
69,0.0,Sabor,1.0,,Vaso x 130 gr,Yogurt,No image,,2.0,54.0,Yogo Yogo Cereal ,1500.0,Natural,https://larecetta.com/pub/media/catalog/product/cache/c687aa7517cf01e65c009f6943c2b1e9/h/t/httpsstorage.googleapis.comlarecetta-ibis-images2006084.jpg,
70,0.0,Sabor,1.0,,Vaso x 130 gr,Yogurt,No image,,3.0,54.0,Yogo Yogo Cereal ,1500.0,Chocolate,https://triunfoq.com/wp-content/uploads/2019/05/7702001106714-600x600.jpg,
71,0.0,Sabor,1.0,,x 8 und,Yogurt,No image,,1.0,55.0,Yogo Yogo ,6800.0,,,
72,0.0,Sabor,1.0,,Botella x 100 gr ,Yogurt,No image,,1.0,56.0,Yogurt Alpina Yox,1800.0,Vainilla,https://mercaldas.vteximg.com.br/arquivos/ids/183201-1300-1300/YOGURT-ALPINA-YOX-100-VAINILLA-FR.jpg?v=636996792879230000,
73,0.0,Sabor,1.0,,Botella x 100 gr ,Yogurt,No image,,2.0,56.0,Yogurt Alpina Yox,1800.0,Melocoton ,,
74,0.0,Sabor,1.0,,Botella x 100 gr ,Yogurt,No image,,3.0,56.0,Yogurt Alpina Yox,1800.0,Mora,https://mercalo.co/wp-content/uploads/2017/06/Yox-Alpina-Multifrutas-100-grs.jpg,
75,0.0,Sabor,1.0,,Botella x 100 gr ,Yogurt,No image,,4.0,56.0,Yogurt Alpina Yox,1800.0,Fresa,https://mercaldas.vteximg.com.br/arquivos/ids/183199-1300-1300/YOGURT-ALPINA-YOX-100-FRESA-FR.jpg?v=636996792873770000,
76,0.0,Sabor,1.0,,Vaso 150 gr,Yogurt,No image,,1.0,57.0,Yogurt Alpina Griego 0%,3200.0,Fresa,,
77,0.0,Sabor,1.0,,Vaso 150 gr,Yogurt,No image,,2.0,57.0,Yogurt Alpina Griego 0%,3200.0,Mandarina,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3496965-750-750/7702001148912.jpg?v=637230833618600000,
78,0.0,Sabor,1.0,,Vaso 150 gr,Yogurt,No image,,3.0,57.0,Yogurt Alpina Griego 0%,3200.0,Coco,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3496963-750-750/7702001148936.jpg?v=637230833614700000,
79,0.0,Sabor,1.0,,Vaso 150 gr,Yogurt,No image,,4.0,57.0,Yogurt Alpina Griego 0%,3200.0,Limón,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3496964-1000-1000/7702001148929.jpg?v=637230833617030000,
80,0.0,Sabor,1.0,,Vaso 150 gr,Yogurt,No image,,5.0,57.0,Yogurt Alpina Griego 0%,3200.0,Mora/Arandanos,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3496778-750-750/7702001055067.jpg?v=637230819637330000,
81,0.0,Sabor,1.0,,Botella x 1000 ml,Yogurt,No image,,1.0,58.0,Yogurt Alpina Finesse ,10700.0,mora,,
82,0.0,Sabor,1.0,,Botella x 1000 ml,Yogurt,No image,,2.0,58.0,Yogurt Alpina Finesse ,10700.0,Melocoton ,https://colsubsidiogrocery.vtexassets.com/arquivos/ids/158597-800-450?width=800&height=450&aspect=true,
83,0.0,Sabor,1.0,,Vaso x 180 ml,Yogurt,No image,,1.0,59.0,Yogurt Alpina Finesse ,2500.0,mora,https://mercalo.co/wp-content/uploads/2017/06/Yogurt-Finesse-Mora-180-grs.jpg,
84,0.0,Sabor,1.0,,Vaso x 180 ml,Yogurt,No image,,2.0,59.0,Yogurt Alpina Finesse ,2500.0,fresa,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3496858-1000-1000/7702001041749.jpg?v=637230819950570000,
85,0.0,Sabor,1.0,,Vaso x 180 ml ,Yogurt,No image,,3.0,59.0,Yogurt Alpina Finess ,2500.0,Melocoton ,https://metrocolombiafood.vteximg.com.br/arquivos/ids/266039-1000-1000/7702001041756.jpg?v=637230837814530000,
86,0.0,,1.0,,Vaso x 170 ml,Yogurt,No image,,1.0,60.0,Yogurt Alpina Finesse Musli,2900.0,,,
87,0.0,,1.0,,Vaso x 113,Yogurt,No image,,1.0,61.0,Yogurt Alpina Baby ,2300.0,,,
88,0.0,Sabor,1.0,,Vaso x 105,Yogurt,No image,,1.0,62.0,Yogurt Alpina Baby Cereal,2500.0,piazza,https://metrocolombiafood.vteximg.com.br/arquivos/ids/265861-1000-1000/7702001124763.jpg?v=637230837047170000,
89,0.0,Sabor,1.0,,Vaso x 169 gr,Yogurt,No image,,1.0,63.0,BonYour Alpina ,2700.0,black,https://metrocolombiafood.vteximg.com.br/arquivos/ids/265941-400-400/7702001086498.jpg?v=637230837344070000,
90,0.0,Sabor,1.0,,Vaso x 169 gr,Yogurt,No image,,2.0,63.0,BonYour Alpina ,2700.0,zucaritas,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3496760-750-750/7702001086023.jpg?v=637230819561930000,
91,0.0,Sabor,1.0,,Vaso x 169 gr,Yogurt,No image,,3.0,63.0,BonYour Alpina ,2700.0,ChocoKrtispis,https://i1.wp.com/mercaenlinea.nyc3.digitaloceanspaces.com/2019/03/bonyur_chocokrispis_169gr.jpg?fit=1000%2C1000&ssl=1,
92,0.0,Sabor,1.0,,Vaso x 169 gr,Yogurt,No image,,4.0,63.0,BonYour Alpina ,2700.0,Chocozo,https://cdn.derematazo.com/wp-content/uploads/2019/08/Bonyurt-Alpina-Cereal-RecubChocolate-x-172g-22508.jpg,
93,0.0,Sabor,1.0,,Vaso x 100 gr ,Yogurt,No image,,1.0,64.0,Mini BonYour Alpina ,2200.0,Candy,https://i1.wp.com/mercaenlinea.nyc3.digitaloceanspaces.com/2019/02/alpina_mini_bon_yourt_chococandy_100gr.jpg?fit=800%2C800&ssl=1,
94,0.0,Sabor,1.0,,Bolsa x 250 gr,Snacks,65_1.png,,1.0,65.0,Papas Super Ricas Todo Rico,5900.0,BBQ,https://www.larebajavirtual.com/images/productos/sii/F/300x300/todo_rico_bbq_familiar_super_ricas-99391-1594703696.png,
95,0.0,Sabor,1.0,,Bolsa x 250 gr ,Snacks,No image,,2.0,65.0,Papas Super Ricas Todo Rico,5900.0,Natural,https://metrocolombiafood.vteximg.com.br/arquivos/ids/165942-1000-1000/7702152009193-1.jpg?v=636670854237570000,
96,0.0,Sabor,1.0,,Bolsa x 180 gr,Snacks,No image,,1.0,66.0,Papas Super Ricas Todo Rico,4800.0,Criollo,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/158088-1000-1000/7702152003504.jpg?v=636081687985800000,
97,0.0,Sabor,1.0,,Bolsa x 180 gr,Snacks,No image,,2.0,67.0,Papas Super Ricas Todo Rico,4800.0,Criollo Aji ,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/158088-750-750/7702152003504.jpg?v=636081687985800000,
98,0.0,Sabor,1.0,,Bolsa x  150 gr,Snacks,No image,,1.0,68.0,Papas Super Ricas Todo Rico,4100.0,BBQ,https://www.google.com/search?q=super+ricas+todo+rico&tbm=isch&ved=2ahUKEwj3pYLDmt3rAhWQ11kKHVsbCoAQ2-cCegQIABAA&oq=super+ricas+todo+rico&gs_lcp=CgNpbWcQA1CnM1jkPmCrQGgAcAB4AIABkAGIAbMJkgEDMC45mAEAoAEBqgELZ3dzLXdpei1pbWfAAQE&sclient=img&ei=k2JZX7eQBJCv5wLbtqiACA&bih=657&biw=1366&rlz=1C1AVNA_enCO565CO565#imgrc=j-TRGwMb3VqBvM&imgdii=SNs5ljMjr-DsjM,
99,0.0,Sabor,1.0,,Bolsa x 150 gr,Snacks,No image,,2.0,68.0,Papas Super Ricas Todo Rico,4100.0,Original,https://d50xhnwqnrbqk.cloudfront.net/images/products/large/superr.jpg,
100,0.0,Sabor,1.0,,Bolsa x 320 gr,Snacks,No image,,1.0,69.0,Papas Super Ricas Fritas,6700.0,Pollo,https://exitocol.vtexassets.com/arquivos/ids/1765513-800-auto?width=800&height=auto&aspect=true,
101,0.0,Sabor,1.0,,Bolsa x 215 gr,Snacks,No image,,1.0,70.0,Papas Super Ricas Fritas,4800.0,Natural,https://metrocolombiafood.vteximg.com.br/arquivos/ids/267938-1000-1000/7702152002255.jpg?v=637242039369600000,
102,0.0,Sabor,1.0,,Bolsa x 205 gr ,Snacks,70_2.png,,2.0,70.0,Papas Super Ricas Fritas,4800.0,Pollo,https://images.rappi.com/products/620765-1559235068.png?d=500x500&e=webp,
103,0.0,Sabor,1.0,,Bolsa x 105 gr,Snacks,No image,,1.0,71.0,Papas Super Ricas Fritas,3200.0,Pollo,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3539109-1000-1000/7702152109831.jpg?v=637352028532230000,
104,0.0,Sabor,1.0,,Bolsa x 115 gr,Snacks,71_3.png,,3.0,71.0,Papas Super Ricas Fritas,3200.0,Picante ,https://images.rappi.com/products/494072-1559235067.png?d=500x500&e=webp,
105,0.0,Sabor,1.0,,Bolsa x 105 gr,Snacks,No image,,4.0,71.0,Papas Super Ricas Fritas,3200.0,Natural,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3539108-1000-1000/7702152109824.jpg?v=637352028529600000,
106,0.0,Sabor,1.0,,Bolsa x 115 gr,Snacks,No image,,1.0,72.0,Papas Super Ricas Fritas Crocantes ,3500.0,Costillas Ahumadas,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3458994-750-750/7702152101231---PAPA-CROKANTE-COSTILLA-DE-CERDO-X-115GR.jpg?v=637039162324770000,
107,0.0,Sabor,1.0,,Bolsa x 115 gr,Snacks,No image,,2.0,72.0,Papas Super Ricas Fritas Crocantes ,3500.0,Natural,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.tiendasjumbo.co%2Fpapas-fritas-crokante-natural-super-ricas-x-115g%2Fp&psig=AOvVaw2z0hGt74Mz0aQQwHMhG23A&ust=1599839613670000&source=images&cd=vfe&ved=0CAIQjRxqFwoTCKjK_pH53usCFQAAAAAdAAAAABAD,
108,0.0,Sabor,1.0,,Bolsa x 200 gr,Snacks,No image,,1.0,73.0,Papas Super Ricas Fritas Fosforitos ,3600.0,Natural,,
109,0.0,Sabor,1.0,,Bolsa x 135 gr,Snacks,No image,,1.0,74.0,Tajamiel Super Ricas,3600.0,Platano Maduro,https://exitocol.vtexassets.com/arquivos/ids/2081675-800-auto?width=800&height=auto&aspect=true,
110,0.0,Sabor,1.0,,Bolsa x 135 gr,Snacks,No image,,2.0,74.0,Tajaditas Super Ricas,3600.0,Platano verde,https://metrocolombiafood.vteximg.com.br/arquivos/ids/267944-1000-1000/7702152107967.jpg?v=637242039399900000,
111,0.0,Sabor,1.0,,Bolsa x 400 gr,Snacks,No image,,1.0,75.0,Papas Margarita De Todito ,7700.0,Natural,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3484364-1000-1000/7702189030443.jpg?v=637175561746170000,
112,0.0,Sabor,1.0,,Bolsa x 150 gr,Snacks,No image,,1.0,76.0,Papas Margarita De Todito ,4200.0,Natural,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3484423-1000-1000/7702189054036.jpg?v=637175561956630000,
113,0.0,Sabor,1.0,,Bolsa x 150 gr,Snacks,No image,,2.0,76.0,Papas Margarita De Todito ,4200.0,Mix,https://metrocolombiafood.vteximg.com.br/arquivos/ids/259441-1000-1000/7702189054050.jpg?v=637175640813230000,
114,0.0,Sabor,1.0,,Bolsa x 150 gr,Snacks,No image,,3.0,76.0,Papas Margarita De Todito ,4200.0,BBQ,https://exitocol.vtexassets.com/arquivos/ids/1978516-800-auto?width=800&height=auto&aspect=true,
115,0.0,Sabor,1.0,,Bolsa x 105 gr,Snacks,No image,,1.0,77.0,Papas Margarita  Fritas,3400.0,Natural,https://metrocolombiafood.vteximg.com.br/arquivos/ids/259434-750-750/7702189053787.jpg?v=637175640789670000,
116,0.0,Sabor,1.0,,Bolsa x 105 gr,Snacks,No image,,2.0,77.0,Papas Margarita  Fritas,3400.0,Pollo,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3484417-1000-1000/7702189053770.jpg?v=637175561929570000,
117,0.0,Sabor,1.0,,Bolsa x 105 gr,Snacks,No image,,1.0,78.0,Papas Margarita Onduladas  ,3400.0,Tomate,https://metrocolombiafood.vteximg.com.br/arquivos/ids/259437-1000-1000/7702189053848.jpg?v=637175640797800000,
118,0.0,Sabor,1.0,,Bolsa x 105 gr,Snacks,No image,,2.0,78.0,Papas Margarita Onduladas  ,3400.0,Mayonesa,https://metrocolombiafood.vteximg.com.br/arquivos/ids/259435-1000-1000/7702189053831.jpg?v=637175640793430000,
119,0.0,Sabor,1.0,,Bolsa x 120 gr,Snacks,No image,,1.0,79.0,Papas Margarita Receta Clasica ,3900.0,Alitas BBQ,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3484397-1000-1000/7702189051455.jpg?v=637175561863830000,
120,0.0,Sabor,1.0,,Bolsa x 120 gr,Snacks,No image,,2.0,79.0,Papas Margarita Receta Clasica ,3900.0,Sal,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3484396-1000-1000/7702189051431.jpg?v=637175561850070000,
121,0.0,Sabor,1.0,,Bolsa x 182 gr,Snacks,No image,,1.0,80.0,Papas Margarita Fosforito,4100.0,Natural,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/190424-1000-1000/7702189033093.jpg?v=636162204226800000,
122,0.0,Sabor,1.0,,Bolsa x 230 gr,Snacks,No image,,1.0,81.0,Choclitos Margarita ,3700.0,Limon,https://secureservercdn.net/50.62.88.95/vx2.bc3.myftpupload.com/wp-content/uploads/2019/05/7702189045799.jpg?time=1599745994,
123,0.0,Sabor,1.0,,Bolsa x 185 gr,Snacks,No image,,1.0,82.0,Doritos Margarita ,4300.0,Mega Queso,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3484386-1000-1000/7702189045782.jpg?v=637175561819070000,
124,0.0,Sabor,1.0,,Bolsa x 160 gr,Snacks,No image,,1.0,83.0,Cheetos Margarita Horneados,3200.0,Boliqueso,https://metrocolombiafood.vteximg.com.br/arquivos/ids/259395-1000-1000/7702189045577.jpg?v=637175640651200000,
125,0.0,Sabor,1.0,,Bolsa x 43 gr,Snacks,No image,,1.0,84.0,Cheetos Margarita Horneados,1000.0,Trissitos ,https://metrocolombiafood.vteximg.com.br/arquivos/ids/259449-1000-1000/7702189054739.jpg?v=637175640838030000,
126,0.0,Sabor,1.0,,Bolsa x 43 gr,Snacks,No image,,2.0,84.0,Cheetos Margarita Horneados,1000.0,Maxi,https://metrocolombiafood.vteximg.com.br/arquivos/ids/259445-1000-1000/7702189054708.jpg?v=637175640828530000,
127,0.0,Sabor,1.0,,Bolsa x 250 gr,Snacks,No image,,1.0,85.0,Papas Yupi Golpe Con Todo,5200.0,Ranchero,https://cdn.totalcode.com/la14/product-zoom/es/golpe-con-todo-ranchero-250g-2.jpg,
128,0.0,Sabor,1.0,,Bolsa x 140 gr,Snacks,No image,,1.0,86.0,Papas Yupi Golpe Con Todo,3400.0,Original,https://cdn.totalcode.com/la14/product-zoom/es/golpe-con-todo-original-140g-1.jpg,
